"author","question"
"Data Scientist at FINRA was asked..."," 1. Prove why Pearson's Correlation is between -1 and 1. 2. Linear regression, multiple linear regression, brainteasers, programming exercise"
"Data Scientist at KP was asked..."," where do you see yourself in 5 years"
"Data Scientist at Via Transportation was asked..."," What would you do to measure the efficiency of the upper east side?"
"Professional English Faculty at Institute of Language Management was asked..."," Why you have chosen this company to work?"
"Data Scientist at AKUNA CAPITAL was asked..."," Complex Algorithm and Object oriented question which ibviously took lot more time than they gave"
"Data Scientist at Aetna was asked..."," Extrapolate how many blood testing centers there are in the United States. "
"Data Scientist at Capital One was asked..."," To finish a data challenge without a deadline given."
"Data Scientist at Yelp was asked..."," How to evaluate the features classifying spams and emails."
"Data Scientist at J.P. Morgan was asked..."," did you code machine learning algorithms from scratch or used a library?"
"Data Scientist at J.P. Morgan was asked..."," The two interviews had a similar format. It started with an overview of my education, experience and past projects. Asked specific and technical details on the implementation of a neural network algorithm. I was then asked to solve small coding problems via collabedit: 1. Find the intersection of two arrays of integers. 2. Find the nth prime number 3. Use a binary search to find the index of a given value within an array of integers. 4. An SQL exercise to extract various specific items of a table. For the coding exercises I could choose the language of my choice. Complexity was discussed and the interviewer always pushed me to find the least demanding solution in terms of time complexity."
"Data Scientist at Xerox was asked..."," Detailed Machine learning algorithms and pattern recognition methods with their objective functions"
"Data Scientist at Dataiku was asked..."," why i wanted this job"
"Data Scientist at OnDeck was asked..."," Technical test of probability simulation and a variety of Python and SQL questions in person."
"Research Lead/Data Scientist at Spotify was asked..."," They sent a link to some publicly-available data and told me to tell them something interesting about it."
"Junior Data Scientist at Allstate was asked..."," If a jar has X red balls and Y blue balls, what is the minimum number of draws that is necessary to ensure that you have one ball of each color?"
"Data Scientist at 1010data was asked..."," How would you explain recursion to someone who didn't understand com sci?"
"Data Scientist at Oscar Health was asked..."," Debate question: ""Are state lotteries a good idea?"" Coding question: Easy-level leet-code style problem --- using a list of start and end-time tuples representing room occupancies, determine if there are conflicts and how many."
"Data Scientist at McKinsey & Company was asked..."," Writing an algorithm for time series data"
"Data Scientist at Dynamit was asked..."," how do you handle difficult co-workers"
"Data Scientist at Cablevision Systems was asked..."," Explain the KNN algorithm"
"Data Scientist at Audible was asked..."," Talk through how you would build a recommendation system."
"Data Scientist at Audible was asked..."," Why Audible? "
"Data Scientist/Machine Learning at Manthan was asked..."," Describe role and responsibilities on one project"
"Data Scientist at Jet was asked..."," functional programming"
Senior Data Scientist at SparkCognition was asked...," academic-like questions where you could just look up the answer. just memorize a thing or two about the basic algos like neural nets, random forests, svm, linear regression. that satisfies their data scientists."
Data Scientist at SparkCognition was asked..., Basic resume work. 
Data Scientist at IBM was asked...," Typical interview questions, very basic statistics questions, and general ML questions (not on specific models) and coding questions that are similar in style to HackerRank"
Data Scientist at Apple was asked..., Why Apple? 
Data Scientist at Indeed was asked...," (As it can be inferred from the description, this stage was never reached.)"
Data Scientist at SparkCognition was asked...," Describe several clustering algorithms. In sampling with replacement for decision trees, what portion of samples are left-out of booststrap samples?"
Data Scientist at IBM was asked..., Describe precision and recall.
Data Scientist at BlackLocus was asked...," The questions were only classical statistics, like t-test, linear programming, SQL and brain teasers. All questions are basic. And of course some behavior questions."
Data Scientist at SparkCognition was asked..., How do you explain Random Forrest to a non-technical person?
Data Scientist at Main Street Hub was asked..., They sent a dataset for binary classification modeling. 8 variables without their meaning at all.
Data Scientist at SparkCognition was asked...," Machine learning techniques, couple of coding questions. "
Data Scientist at Spiceworks was asked...," The typical question of finding which number in an increasing set is missing. For example, the natural numbers or even numbers, etc."
Data Scientist at SparkCognition was asked...," ML Algorithms, Stats"
Data Scientist at Indeed was asked..., onsite coding using their laptop
Data Scientist at Indeed was asked...," You can look at the other interview reviews for the specific questions. Mine was very similar, although specific questions may differ. "
Data Scientist at Stanley Black & Decker was asked...," I was asked some specific SQL coding questions. I have been using NoSQL lately, so these were the most difficult questions for me. "
Data Scientist at XO Group was asked...," I was asked point blank about how I would approach a rather tricky and complicated problem. This turned out to be the project in development at the time, so it was a nice opportunity to whiteboard and for the interviewers and I to feel each other out. Collaboration and ability to think on one's feet were obviously important."
Data Scientist at Indeed was asked..., Lots of coding questions and data analysis tasks.
Data Scientist at Indeed was asked...," bayes probability，leetcode easy，hypothesis test unsupervised learning, recommendation system"
Data Scientist at Indeed was asked...," Make sure to study recommendation engines, since this is the bread and butter of their work. They don't really have any interest in your work experience, like many tech interviews. "
Data Scientist at Indeed was asked...," Python programming tests, data visualization analysis, etc"
Data Scientist Engineer at Cerebri AI was asked...," Q. Walk me through your current project, along with broad brush-stroke view of the code. Q. How many files your code is separated in, any OOP in it?"
Data Scientist at BlackLocus was asked..., They asked basic statistics and probability questions. Nothing very difficult.
Data Scientist at SparkCognition was asked..., How's an LSTM gate different from a vanilla RNN?
Data Scientist at SparkCognition was asked..., I was asked about algorithms that would be most suitable for various problems.
Data Scientist at SparkCognition was asked..., How does the random forest algorithm work?
Data Scientist at Cerebri AI was asked...," After a company overview, to which areas might you apply a frequentist approach, to which might you apply a Bayesian approach? "
Data Scientist at General Motors was asked..., What are you working on right now? Why are you interested in this position? Do you have any questions for me?
Data Scientist at Dell was asked..., what is dimensionality reduction? what is indexing in database etc
Data Scientist at Indeed was asked...," Statistics / probability, ML / classification, SWE"
Data Scientist at IntegraFEC was asked..., Mainly about past experience and how I had used analytics. Also behavioral. There was also a python program round where I was told to write and describe the pseudo code.
Data Scientist at Indeed was asked...," The initial phone screen asked very basic interview questions (Why are you looking for a new job? Why Indeed? What's your background?). The data science project I was given consisted of a large dataset on salaries (about 200k rows). I was asked to use machine learning to predict salaries and share my code as well as predicted outcomes. Additionally, nine questions were asked about the project. These questions asked about the models used, the reasoning behind them and the error rates. Overall, the data science project was complicated as it was a large data set to run complex models on."
Entry Level Data Scientist at IBM was asked..., What's the difference between R and Python
Data Scientist at SparkCognition was asked..., They gave a data science assignment.
Data Scientist at IBM was asked..., Technical: Topics on machine learning I have done in the past such as why I used a Monte Carlo to help with stress testing an algorithm for FDA approval or what programming language I used for creating an ensemble algorithm. The interviewer was a future colleague and extremely sharp. Managerial: mainly my listening and asking questions only to understand better.
Data Scientist at Cerebri AI was asked..., Why did you choose that particular machine learning algorithm for your project?
Staff Data Scientist at Booz Allen Hamilton was asked..., Describe how K-means works.
Data Scientist at Massachusetts General Hospital was asked...," Given an existing set of purchases, how do you predict the next item to purchase of a new basket?"
"""Unwanted"" Data Scientist at QuantumBlack was asked..."," HackerRank Data Scientist test: First question gave an option to code in R, while the other two didn't. "
"""Unwanted"" Data Scientist at QuantumBlack was asked...", Phone Interview: Going over your resume and how you fit in the position
Data Scientist at Wayfair was asked..., Different case study of analyzing customer behavior. 
Data Scientist at Palantir Technologies was asked..., Why do you want to work for Palantir?
Senior Data Scientist at Adelphic was asked..., Can you tell more in detail about your projects listed on the resume?
Data Scientist at Tessella was asked..., Asked me what my salary expectations were.
Data Scientist at CiBO Technologies was asked..., They did not ask me any technical questions
Data Scientist at Wayfair was asked..., Attribution model
Data Scientist at Wayfair was asked..., Recommendation system
Data Scientist at Rue Gilt Groupe was asked..., How to analyze a data set?
Data Scientist at Rakuten was asked..., Write a function that finds the MST of a directed graph.
Data Scientist at Pluralsight was asked...," Questions about work, experience with python coding challenge was based on an algorithm that they already use to predict question and user rankings "
Data Scientist at Wayfair was asked..., Why do you think it is a Data Science project?
Data Scientist at Celect was asked...," Each panel member told me about what their role was, asked about my background and then there was a brainteaser type problem that I was to solve on the whiteboard."
Data Scientist at Wayfair was asked..., Choose list variable given probability of each variable
Data Scientist at Olympus Corporation of the Americas was asked..., What is your favorite project?
Data Scientist at Indigo (MA) was asked..., Why do you want to leave your current position?
Data Scientist at AstraZeneca was asked..., nothing unexpected just what i have done and question about the CV
Data Scientist at Rifiniti was asked..., Outline an algorithm to find if two rectangles overlap. How would you compute the area if they overlap?
Data Scientist at CiBO Technologies was asked..., They gave coding assessment and ask statistic questions
Data Scientist at True Fit Corporation was asked..., 1.Pandas 2. SQL 3.Statistics 
Senior Staff Data Scientist at athenahealth was asked..., What is k means
Data Scientist at True Fit Corporation was asked..., 1.Pandas 2. SQL 3.Statistics 
Data Scientist at Facebook was asked..., A table has a column with full names(e.g. 'Tom Hardin'). write a python code to get distinct first names(i know its super easy in sql)
Data Scientist at Walmart was asked...," A person using search engine to find something, you know nothing about her/him, nothing at all, how do you come up with am algorithm that will predict what she/he needs after the user types only a few letters ?"
Data Scientist at Boston Consulting Group was asked...," Describe a project that you have particular interests in, explain what you did and the results."
Data Scientist at Intel Corporation was asked...," Experiences in the field of data science, what is the most challenging aspect of what I do now, A few general data science questions."
Data Scientist at Wayfair was asked..., Are you willing to move?
Data Scientist at Wayfair was asked...," In a condescending tone, why do you think you can be a data scientist?"
Data Scientist Infrastructure at Facebook was asked...," Write a program in Python to calculate tax if Salary and Tax Brackets are given as list in the form [ [10000, .3],[20000, .2], [30000, .1], [None, .1]]. You don’t know in the beginning how many tax brackets are there. You have to test for all of them."
Data Scientist at Wayfair was asked...," Open ended business cases on marketing, e-commerces (clickthrough rates, personalization, etc). CS question on python dictionaries."
Data Scientist at Christa McAuliffe Regional Charter Public School was asked..., Tell us about yourself? And do you have any questions for us?
Data Scientist at Amazon was asked...," SVM, how to choose a model, and how to determine if a model is better than another."
Data Scientist at Salesforce was asked..., Go through how to contruct a recommendation system.
Data Scientist at Wayfair was asked...," Case interview, node graph, modeling"
Decision Science Analyst & Data Scientist at Weather Analytics was asked..., What can you bring to the company?
Data Scientist at Wayfair was asked..., Go deep into my projects. Explain why I chose particular methods and solve particular questions in the projects
Data Scientist at McKinsey & Company was asked..., Describe a situation where you showed leadership.
Computational Data Scientist at GNS Healthcare was asked...," The take-home question itself was an interesting machine learning question, perhaps not too difficult (I had not looked at this material for a long time so I had to look up different methods to figure out which one was being referenced). I thought it was posed in an interesting way and some thought had gone into not revealing too much. "
Junior Data Scientist at Civis Analytics was asked..., Basically an open ended case where you had to narrate your analytical approach to answer several business questions. Follow up on regularization
Data Scientist at SAP was asked...," How would you design a recommendation system for amazon customers, considering that a single customer may use many devices to logon to a single account?"
Data Scientist at Wayfair was asked..., Which deep learning technique would you use for video compression?
Data Scientist at Liberty Mutual Insurance was asked..., Give an example when you help others in a course project.
Data Scientist at TripAdvisor was asked..., Details about random forest that applied on regression problem.
Data Scientist at Disruptor Beam was asked..., Have you played video game xyz? (Apparently this was a requirement not stated on job description)
Data Scientist at McKinsey & Company was asked..., Tell me about a time you disagreed with others.
Data Scientist at McKinsey & Company was asked..., Go through one of your project in detail.
Data Scientist at Cogito was asked..., I was asked to talk about my research and how it relates to their product...given the lack of expert knowledge in their team i have to update them on even most basic approaches in the field
Data Scientist at Vertex Pharmaceuticals was asked..., Talk about projects
Data Scientist Co-op at Novant Health was asked..., Do you know what regular expressions (regex) is? 
Data Scientist at Wayfair was asked..., Some case questions
Data Scientist at Amazon was asked..., They focus a lot on their leadership principles and your resume
Data Scientist at Deloitte was asked...," Why consulting, why Deloitte?"
Data Scientist at Philips was asked..., Ask questions about the dataset you have worked on and how to reduce overfitting. They prefer applicants that can build machine learning models from scratch. All questions were based on the submitted resume. 
Data Scientist at SUNRISE FUTURES was asked..., Resume and technique questions
Data Scientist at Nanigans was asked...," They will show you a formula which could be part of many statistics and expect you to state with authority that it is a logistic regression, when it is not actually the logistic regression equation, it is a part of it...."
Data Scientist at Hopper was asked..., Explain the model you built and what else would you want to do with more time?
Data Scientist at Profitect was asked..., describe what random forest is and the difference between boosters
Data Scientist at Cignifi was asked..., Look through/explore this csv.
Data Scientist at Amazon was asked..., Tell me a time when you did not agree with your advisor. 
Data Scientist at Kensho Technologies was asked..., How is the bias and variance in Random Forest and Gradient Boosting Tree?
Data Scientist at Twitter was asked..., Why did you apply for this position?
Software Engineer/Data Scientist at Wayfair was asked...," Business case -- they presented me an e-mail and their problems with recommend, and suggested ways I might improve it. Also a 'lightning' round of mathematical, statistical, and programming questions that was a little all over the place (and not tailored to your resume), and done in a binary yes/no fashion. "
Data Scientist at Klaviyo was asked..., Data aggregation and significance testing
Data Scientist at Wayfair was asked..., What are potential weaknesses of that pricing strategy?
Data Scientist at TripAdvisor was asked..., a/b testing
Data Scientist at Uber was asked..., Why Uber?
Data Scientist at Infinite Analytics was asked..., Q : Customer recommendation based algorithms
Data Scientist at Philips was asked..., describe MCMC process
Data Scientist at DataRobot was asked...," about your projects, previous company projects and resume based."
Senior Data Scientist at Rapid7 was asked..., What kinds of tools do you use?
Data Scientist at dataxu was asked...," AB testing, one classification problem, one budget allocation problem."
Data Scientist at QuantumBlack was asked..., 1. Walk me through a data science project you recently completed. 2. Tell me how you would solve this data science problem. 
Data Scientist at TripAdvisor was asked...," SEM, Recommendation system , ranking algorithms"
Data Scientist Consultant at Management Solutions was asked..., Where do you see yourself in 10 years?
Data Scientist at Panjiva was asked..., feature selection and PCA
Data Scientist at Panjiva was asked..., How did you handle bag of word. 
Data Scientist at Microsoft was asked..., From technical interview: Describe how gradient boost works. From final interview: Describe a time when you had to convince a client to follow your strategy.
Data Scientist at The Broad Institute was asked..., The coding questions were versions of basic algorithms that most people with a programming background should be familiar with.
Data Scientist at Panjiva was asked...," 1. Questions about designing SQL schemas, queries, optimization 2. What is my familiarity with various languages, development environments, etc.?"
Junior Data Scientist at BitSight was asked..., How would you design our product if you were starting from scratch.
Data Scientist at SolarWinds was asked..., Data transformations. Python coding. Modelling. 
Data Scientist at Rubicon Project was asked..., Write a pseudo-code to generate a series of locations for a knight piece (with standard chess move) on a dialing pad (0-9) after a certain number of moves.
Data Scientist/Engineer at nuTonomy was asked..., Random easy typical google-able puzzles. 
Data Scientist Co-op at Novant Health was asked..., How good are you with SQL?
Data Scientist at Rubicon Project was asked...," We roll a die, and have the option to roll once or twice more, how can we maximize the number that we finally get (just the last number matters)? And what is the mean of this number?"
Data Scientist at MITRE was asked..., Tell me about a project you're proud of.
Data Scientist Co-op at Novant Health was asked..., Generic Data science questions mostly on the projects that i did. 
Data Scientist at Rubicon Project was asked...," How does a software sort numbers? What does ""HAVING"" do in SQL? How does MapReduce work?"
Data Scientist Co-op at Novant Health was asked..., Why do you think your skills are a good fit for us?
Data Scientist at Rubicon Project was asked...," Explain your PhD research (they asked many questions in detail, mostly things that were relevant to their projects.)"
Data Scientist at Partners HealthCare was asked..., Tell me something about machine learning and deep learning 
Data Scientist at Wayfair was asked..., Match furniture in a scene given query pictures plus computer vision basics.
Data Scientist at Wayfair was asked..., Link different devices of the same user plus machine learning basics.
Data Scientist at Wayfair was asked..., Did you have much machine learning experience during your academic career?
Senior Data Scientist at Boston Consulting Group was asked..., Technical case interview which is a mix of modelling skills + classical case interview structure
Data Scientist at McKinsey & Company was asked..., They asked to talk more about one of my Data Science Project and explain step by step how I got to the final product
Data Scientist at Wayfair was asked..., A Leetcode problem about arrays.
Data Scientist at TrueMotion was asked..., Sign the non-disclosure form
Data Scientist at Kronos Incorporated was asked..., Mostly Behavioral questions. 
Data Scientist at dataxu was asked...," Take-home test: statistical questions, machine learning questions, coding exercise (simulation)."
Data Scientist Infrastructure at Facebook was asked...," Q1. SQL Given tables: employees(id, unixname,team,role,days_since_started) projects(id,name,....) commits(id,file_path,proj_id,auth_id,timestamp) Find the number of unique employees per project per month? Q2. Imagine you have a CSV file: john_doe,android,ios,infra bob_law,is,backend jane_doe,frontend ------------------------------ Containing,for each employee, a list of projects he/she works on Write a script/function/else that reads data from CSV file and creates a data structure that stores, for each project, a list of employees who work on it."
Data Scientist at Apptopia was asked..., Complete a coding challenge. 
Data Scientist at FirstFuel Software was asked..., How would you find a change in time-series data?
Senior Data Scientist at Rue Gilt Groupe was asked...," Explain times in which you had to collaborate with multiple different teams within a corporation and how you handled it. Explain your last project in detail - what were some of the obstacles, what made you choose the solution that you had come up with. Have you ever created a software application that utilizes data science and if so, fully explain the implementation (whiteboard). A few SQL questions."
Data Scientist at Everbridge was asked..., Real time case study
Data Scientist at Wayfair was asked..., Q: How would you evaluate the effectiveness of various ads?
Senior Data Scientist at CarGurus was asked..., How to avoid dead lock
Data Scientist at Biogen was asked..., tell me about youeself
Voice Data Scientist at Sonos was asked...," A time when you wanted to find more data for a given issue, how did you handled it?"
Data Scientist at Disruptor Beam was asked..., Tell me what you did in your Ph.D.?
Data Scientist at Disruptor Beam was asked..., How would you handle things if you make a mistake? Do you tell the client about the mistake?
Senior Data Scientist at CarGurus was asked..., What is heap
Data Scientist at Wayfair was asked...," Given the available data, walk me through how you would value a marketing campaign from a data science perspective."
Data Scientist at Tala was asked..., What's your challenging projects?
Lead Data Scientist at SHYFT Analytics was asked...," Very informal, no technical question because no one is technical there. No one has any idea what predictive analytics model are. I read someone here said that the culture at this company is very Google like, which i think was quite an insult to anyone worked at Google. I worked in household companies in pharma and healthcare so i had high standards. I know some startup that have brilliant minds working for them, this is far from that. All they have done is write sql and put the data on a dashboard which is called descriptive analytics if you want to do predictive analytics you are on your own, you would be the only person working and since their strengths is on descriptive analytics or merging real world evidence data from various sources majority of the projects they get are in that realm so don't expect a steady job as a data scientist here. And don't be scared by the name VP. Everyone in this company is a VP because they only have one person working in that domain, consulting ,strategy ,etc all are VP !"
Data Scientist at Kensho Technologies was asked...," Timeseries, multi-class classification"
Data Scientist at Booz Allen Hamilton was asked..., Tell me about your background and how you got into data science.
Data Scientist at Wayfair was asked..., Mostly case based questions intended to see my ability to reason through the problems the team was facing at the time of my interview. Also some more technical coding questions.
Data Scientist at Wayfair was asked..., Basic time series stuff
Data Scientist at McKinsey & Company was asked..., Data science knowledge. Case Studies. PEI.
Data Scientist at Wayfair was asked...," Describe a project you worked on outside work/school How would you explain your project in layman terms, and also to someone with a tech background What other companies are you interviewing with"
Data Scientist at Hopper was asked..., What would you do given all of Hopper's data?
Data Scientist at Wayfair was asked..., Which features would be important in assigning a customer to particular customer segment?
Data Scientist at Wayfair was asked..., Tell me about a project that you worked on. Use their whiteboard if you can.
Senior Data Scientist at MathWorks was asked..., My background research.
Data Scientist at TrueMotion was asked..., Go through the code and thought process. Explain the code one by one.
Data Scientist at Vertex Pharmaceuticals was asked..., talk about the projects you have done before
Data Scientist Algorithms at Wayfair was asked..., Describe in detail a data science project you were involved in and what was your contribution. How well did that project perform. 
Data Scientist at FirstFuel Software was asked...," Technical questions covering machine learning, statistics, some math, general questions about previous work history"
Data Scientist at Wayfair was asked..., What kind of job will make you excited to go to every morning? How do you handle unbalanced dataset? What evaluation method will you use?
Senior Data Scientist at Pixability was asked...," Bayes type question, updating likelihood. Brush up on your Bayesian methods."
Data Scientist at Civis Analytics was asked...," Analyze, explain, and present accompanying reading material."
Data Scientist at Accenture was asked..., Data modeling and data science questions based on provided data sets. 
Data Scientist at Uptake was asked..., Tell me about yourself. What insights do you get from the given dataset?
Data Scientist at CNA was asked..., How is the process of building a model to predict loss 
Data Scientist at Civis Analytics was asked..., The most difficult part of the process was repeatedly trying to contact the hiring manager. 
Data Scientist at ActiveCampaign was asked..., How would you deal with imbalanced classes in a machine learning context? What kind of data structure would you use in R to store key-value pairs?
Junior Data Scientist at G2 Crowd was asked..., What is a novel application for our review data that might generate new business opportunities?
Data Scientist at Tempus Labs was asked..., Whiteboard: How do you set up and model this survival analysis problem using hypothetical patient data?
Data Scientist at Crowe was asked..., describe bias–variance tradeoff
Data Scientist at Brad's Deals was asked..., Build a predictive model using iPython and a sample data set
Data Scientist at Brad's Deals was asked...," On a scale from 1 to 10, how would you rate your SQL skills?"
Data Scientist at Allstate was asked..., Basic behavioral questions
Data Scientist at Civis Analytics was asked..., the meaning of the hyperparameters in different sklearn models
Data Scientist at Opex Analytics was asked...," As you would expect for a data scientist position, they ask a series of technical questions on predictive analytics and SQL."
Data Scientist at Crowe was asked..., Explain in detail key machine learning concepts.
Data Scientist () at Allstate was asked..., 1. Coding (pseudo code) 2. Logic questions
Senior Data Scientist at Vivid Seats was asked..., Please share your data science experience. 
Data Scientist at Civis Analytics was asked..., You have been tasked with creating a prediction for the outcome of the 2014 congressional elections. You are responsible for building your own dataset for this process.
Student Assistant - Design at Consumer Reports was asked..., why do you think you are qualified for this position?
Junior Data Scientist at Allstate was asked...," Taje a jar with stones of three colors, how many draws do you need to get two stones of the same color? Generalise to n colors, k stones. "
Data Scientist at ActiveCampaign was asked..., What are my favorite ML algorithms which I am mathematically comfortable with? 
Data Scientist at ActiveCampaign was asked..., Advantages and Disadvantages of Gradient Boosted Models. 
Data Scientist at Honeywell was asked..., Nothing Hard. The interviewers do not even know your field for the most part. 
Data Scientist at Uptake was asked..., Describe two projects you worked on. 
Data Scientist at CME Group was asked..., How do you interpret this graph? 
Data Scientist at Sears was asked..., Actually there were no serious technical questions. e.g. what optimization tools you are familiar with?
Data Scientist at Vizient was asked..., Mostly technical questions related to your work experience and presentation given. Questions are straight and to the point. They need person with good presentation skills. Classical stat and machine learning problems.
Data Scientist at KPMG was asked..., Case study based on some data graph.
Data Scientist at Civis Analytics was asked...," How would you go about assessing whether insider trading is occurring, using the data of your choice?"
Data Scientist/QA at Google was asked..., Some detailed statistical and optimization questions
Data Scientist at Uptake was asked..., What projects do you do to keep up with the new data science technologies?
Data Scientist at Uptake was asked..., Talk about a data science problem you worked on.
Data Scientist at Avant was asked..., Knowledge about statistics and previous experience
Data Scientist at American Family Insurance was asked...," Q: What is gradient descent? Q: What are the various ways to control overfitting? Q: What is the effect of increasing the number of neurons and number of layers on CNN performance? Q: What are the predictors of name entity tagging training data? Q: How does Batch Normalization help? Q: Why can't you use SVMs for image recognition? Q: How do you productionize your model? Q: A python related live coding question, to write a function to identify a correct sequence of a pattern of words? Honestly, why should there be a round with software engineers when I have no background of Computer Science? "
Data Scientist - Low Latency at Citadel was asked...," Inorder tree traversal. Other programming related questions: decorator, generator; virtual destructor, how is map implemented, complexity to insert/search/delete in a tree, etc."
Data Scientist at neighborhoods.com was asked..., We have problem X that needs to be solved by date Y. What is your overall strategy for addressing this problem?
Data Scientist - Low Latency at Citadel was asked...," In a 52 cards game, you randomly draw 5 cards, then return 4 back to the dealer and you keep 1. The dealer will always know what card is in your hand. Can you tell me what strategy he used?"
Data Scientist - Low Latency at Citadel was asked...," What is the population in Nigeria, can you give me a 95% confidence interval?"
Data Scientist at Tempus Labs was asked..., Basic HR questions. Take-home dataset where you get to play around with it and see what results you can come up with.
Data Scientist at Zurich North America was asked..., supervised learning problem on insurance data.
Data Scientist - Low Latency at Citadel was asked...," I randomly pick a number from 1 to 100, how would you guess? What if you have prior knowledge that I pick a number that is hard to guess such as near 1 or 100?"
Applied Data Scientist at Civis Analytics was asked..., How would you persuade a client of the usefulness of your analysis?
Data Scientist at Brad's Deals was asked..., How to handle sparse data
Manager at Nickelodeon was asked..., What is your management style?
Data Scientist at Brad's Deals was asked..., How to use SQL
Data Scientist at Conversant was asked..., The only technical question during on-site was imagine you have a fixed amount of money for investment during a given period of time. you wan to maximize the return at the end of the period but you do not know the market. What would be the best strategy?
Data Scientist at Nielsen was asked...," Do you have experience with pandas, shell scripting,spark etc"
Data Scientist at Nielsen was asked...," Explain the process, how you take your model into production from development stage"
Data Scientist at Nielsen was asked..., What is your role in your data science team
Data Scientist at EY was asked..., tell me about yourself
Data Scientist at Vizient was asked..., Technical questions regarding machine learning algos. Describe how the RF algorithm functions? SVM? Can you talk to me about the bias-variance trade-off? How does RF handle the bias-variance tradeoff? What is a p-value? what is a z-score? Can you interpret the coefficient from a logit model (coefficient value is provided for you)? Interpret the Odds Ratio of this coefficient given the binary response. How do the betas get computed using OLS? How about for logistic regression? What is the difference between PCA and FA? Walk us through some of the model building projects you have worked on?
Data Scientist at Civis Analytics was asked..., some machine learning/R packages that I've used.
Data Scientist at KPMG was asked..., How do you manage your time if you are given 12 weeks to complete a project?
Data Scientist at Ecolab was asked...," tell us a time at your old job where you faced a particularly large obstacle or challenge , and how did you overcome it? "
Data Scientist at State Farm was asked..., Use Python to predict the loan approval late for a customer. Use two different machine learning techniques to do this. Write a review on the method used to solve the problem comapring the two techniques.
Data Scientist at Nielsen was asked..., Do you know what we are doing at Nielsen?
Junior Data Scientist at Civis Analytics was asked..., If you could get data on anything for a data science project what would it be?
Data Scientist at BMO Harris Bank was asked..., describe the relevant projects
Data Scientist - Low Latency at Citadel was asked...," 16p + 1 = x^3, and p is a prime number. What is x?"
Data Scientist at AlixPartners was asked..., What are you looking for in the future at this company?
Applied Data Scientist at Civis Analytics was asked..., Case interview about how to solve a business's employee churn problem using data science.
Data Scientist at AKUNA CAPITAL was asked..., Create a class that contains a list of numbers where you will be periodically asked to insert new numbers. Get the minimum. Get the maximum. Get the second last etc.
Data Scientist at Tempus Labs was asked...," You want to create perfect solutions, but reality is often not perfect - how do you cope with that?"
Data Scientist at CNA was asked..., what's the meaning of p-value and confidence interval.
Data Scientist at XSELL Technologies was asked..., Describe which machine learning library are you most familiar with? What are the first 5 machine learning algorithms you would apply to this problem and why? What are the tradeoffs.
Data Scientist at Deloitte was asked...," Technical Questions: SQL, statistics, feature engineering, some supervised and non-supervised models, and data visualization. Make sure you can explain previous projects well (problem formulation, technologies used, feature selection, models used, insights gained). Behavior Questions: Why Deloitte/this role? Where do you see yourself in X years? How do you pick up new technologies/skills? Some scenario-based questions."
Credit Audit Data Scientist & Analyst at BMO Harris Bank was asked..., Describe a technical problem and how you solved it.
Senior Data Scientist at NCSA Next College Student Athlete was asked..., Do you have experience with machine learning?
Senior Data Scientist at NCSA Next College Student Athlete was asked..., Do you have experience leading a team?
Senior Data Scientist at NCSA Next College Student Athlete was asked..., What is your management style?
Senior Data Scientist at NCSA Next College Student Athlete was asked..., What was the last big project you were involved in?
Data Scientist at CME Group was asked..., How would you interpret this graph? 
Data Scientist at IBM was asked..., Data Science projects and techniques applied
Senior Data Scientist at NCSA Next College Student Athlete was asked..., What is the most complex project you have done?
Data Scientist - Consultant at Clarity Insights was asked..., What's your favorite machine learning algorithm? 
Data Scientist at Capital One was asked..., Tell me about the time you influenced someone
Data Scientist at Uptake was asked..., Have you used Tensorflow and other deep learning tools? 
Data Scientist at Vizient was asked..., What's the difference b/t linear and nonlinear regression?
Data Scientist at Uptake was asked..., Walk me through your project that you submitted. 
Data Scientist at Uptake was asked..., hypothesis
Senior Data Scientist at Civis Analytics was asked..., They asked a sampling question though my data challenge did not have anything to do with sampling surveys. They asked about how to create a sample from an unknown population given the current sample. 
Data Scientist at Uptake was asked..., marketing case
Data Scientist/AI Practitioner at Avanade was asked..., Explain Bias-Variance tradeoff. How do you prevent over-fitting? Walk me through your resume. 
Data Scientist at Uptake was asked..., Why did you code things a certian way.
Data Scientist at Uptake was asked..., How to find outliers. what could you bring into the company.
Data Scientist at W.W. Grainger was asked...," Then asked me about what is Java's class, and I explained to him, he said that even I did a small project I would give the right answer..... I think first, every one might have a different answer, and second, even I gave a wrong answer, you can correct it. But donot say something that make the candidates feel that you are insulting him! Totally shame."
Data Scientist at Civis Analytics was asked..., I didn't expect the essay questions about communicating data science concepts on the timed exam.
Data Scientist at W.W. Grainger was asked...," The Senior DS asked about PCA, I explained how to do it, and also you can use SVD to achieve PCA. Then he is lost and asked how does it related to PCA. Then I explained, and then he said that it is hard to understand from phone, and SVD could do PCA. Why then you need an explanation of how to use SVD in PCA then. "
Data Scientist at ActiveCampaign was asked..., Where is Naive Bayes useful?
Data Scientist at Groupon was asked...," normal distribution, binomial distribution, etc.."
Data Scientist at Uptake was asked..., Explain a project I had worked on as well as metrics for measurement. Also asked about dealing with missing data.
